scoring_order,tray_id,pad,plots,splots,block,treatment,id_with_controls
1,12__2,5,12,2,4,Salt + Fungicide,Genesis090
2,6__3,0,6,3,2,Salt + Fungicide,WLD085
3,2__3,95,2,3,1,Infected,Howzat
4,5__3,0,5,3,2,Fungicide,Genesis090
5,10__3,0,10,3,4,Fungicide,WLD085
6,6__2,15,6,2,2,Salt + Fungicide,Howzat
7,1__1,25,1,1,1,Salt + Fungicide,Howzat
8,10__2,0,10,2,4,Fungicide,Howzat
9,7__1,0,7,1,3,Fungicide,WLD085
10,1__3,10,1,3,1,Salt + Fungicide,Genesis090
11,4__3,2,4,3,2,Infected,WLD085
12,4__1,90,4,1,2,Infected,Howzat
13,12__3,1,12,3,4,Salt + Fungicide,WLD085
14,3__1,0,3,1,1,Fungicide,Howzat
15,9__3,0,9,3,3,Infected,WLD085
16,3__3,0,3,3,1,Fungicide,WLD085
17,5__2,1,5,2,2,Fungicide,WLD085
18,10__1,0,10,1,4,Fungicide,Genesis090
19,8__2,30,8,2,3,Salt + Fungicide,Howzat
20,9__1,90,9,1,3,Infected,Howzat
21,5__1,0,5,1,2,Fungicide,Howzat
22,11__3,0,11,3,4,Infected,WLD085
23,8__1,0,8,1,3,Salt + Fungicide,WLD085
24,9__2,40,9,2,3,Infected,Genesis090
25,1__2,0,1,2,1,Salt + Fungicide,WLD085
26,12__1,20,12,1,4,Salt + Fungicide,Howzat
27,2__1,0,2,1,1,Infected,WLD085
28,7__3,5,7,3,3,Fungicide,Howzat
29,3__2,5,3,2,1,Fungicide,Genesis090
30,6__1,10,6,1,2,Salt + Fungicide,Genesis090
31,11__2,90,11,2,4,Infected,Howzat
32,2__2,50,2,2,1,Infected,Genesis090
33,7__2,0,7,2,3,Fungicide,Genesis090
34,4__2,60,4,2,2,Infected,Genesis090
35,11__1,60,11,1,4,Infected,Genesis090
36,8__3,10,8,3,3,Salt + Fungicide,Genesis090
